source§link§author§title§theme§year§content
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=alain&texte=&reference=&theme=§Alain§Système des beaux-arts, livre 1, chapitre VII.§imagination|art§§Dans l'imagination errante tout est promesse, par des émotions sans mesure ; aussi il se peut bien que le sculpteur sans expérience souhaite quelque matière plastique qui change aussi vite que ses propres inspirations. Mais quand il souhaiterait seulement quelque aide du diable, par laquelle le marbre serait taillé aussitôt selon le désir, il se tromperait encore sur sa véritable puissance. Si le pouvoir d'exécuter n'allait pas beaucoup plus loin que le pouvoir de penser ou de rêver, il n'y aurait point d'artistes... Sans doute un des mouvements les plus naturels de l'artiste est d'ajouter un peu à la nature et de finir cette ébauche ; c'est donner à un fantôme la forme d'un objets. Et c'est ce que peuvent remarquer ceux qui sculptent des cannes ; ils cherchent dans les formes de la racine quelque tête d'animal à peine ébauchée ; mais celui qui est habile marche ici prudemment ; chaque parcelle de bois enlevée détermine un peu plus la forme et conduit à un nouvel essai. Ainsi l'artiste observateur décide par l'action inspirée, afin de percevoir quelque chose. En sorte que son modèle c'est d'abord l'objet et ensuite l'oeuvre. 
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=nietzsche&texte=&reference=&theme=§Nietzsche (Friedrich)§Par-delà bien et mal, II, L'esprit libre, \§ 44, Bouquins p. 596.§desir|vie|creation|bonheur|troupeau§§Ce à quoi ils tendent de toutes leurs forces, c'est le bonheur général des troupeaux sur le paturage, avec la securité, le bien être et l'allègement de l'existence pour tout le monde. Les deux rengaines qu'ils chantent le plus souvent sont égalités des droits et pitié pour tout ce qui souffre, et ils considèrent la souffrance elle-même comme quelque chose qu'il faut supprimer. Nous, qui voyons les choses sous une autre face, nous qui avons ouvert notre esprit à la question de savoir ou et comment la plante « homme » s'est developpée le plus vigoureusement jusqu'ici [...], nous pensons que la dureté, la violence, l'esclavage le péril dans l'âme et dans la rue, que la dissimulation, le stoicisme, les artifices et les diableries de toutes sortes, que tout ce qui est mauvais, terrible, tyrannique, tout ce qui tiens de la bête de proie et du serpent sert tout aussi bien à l'élévation du type homme qu'à son contraire.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=nietzsche&texte=&reference=&theme=§Nietzsche (Friedrich)§Texte donné au baccalauréat.Le Gai Savoir, V, \§ 344, De quelle manière nous sommes encore pieux, Bouquins T. II, p. 344.§science|conviction|piete|mefiance§§On dit avec juste raison que, dans le domaine de la science, les convictions n'ont pas droit de cité : c'est seulement lorsqu'elles se décident à adopter modestement les formes provisoires de l'hypothèse, du point de vue expérimental, de la fiction régulatrice, qu'on peut leur concéder l'accès du domaine de la connaissance et même leur y reconnaître une certaine valeur (...).  Mais cela ne revient-il pas, au fond, à dire que c'est uniquement lorsque la conviction cesse d'être conviction qu'elle peut acquérir droit de cité dans la science ? La discipline de l'esprit scientifique ne commencerait-elle pas seulement au refus de toute conviction ?... C'est probable ; reste à savoir si l'existence d'une conviction n'est pas déjà indispensable pour que cette discipline elle-même puisse commencer. (...) On voit par là que la science elle-même repose sur une croyance ; il n'est pas de science sans postulat. 
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=nietzsche&texte=&reference=&theme=§Nietzsche (Friedrich)§Humain, trop humain, I, Des choses premières et dernières, \§ 32, L'illogique est nécessaire, Bouquins T. I, p. 461.§irrationnel|logique|vie|valeur§§L'illogique nécessaire.  Parmi les choses qui peuvent porter un penseur au désespoir, il faut compter le fait de reconnaître que l'illogique est nécessaire à l'homme et que de l'illogique prend naissance beaucoup de bien. Il est si solidement ancré dans les passions, dans le langage, dans l'art, dans la religion, et généralement dans tout ce qui prête du prix à la vie, que l'on ne peut l'en retirer sans porter ainsi à ces belles choses un incurable préjudice. Seuls des hommes par trop naïfs peuvent croire que la nature de l'homme puisse être changée en une nature purement logique ; mais s'il devait y avoir des degrés d'approche vers ce but, quelles pertes ne ferait-on pas en chemin ! Même l'homme le plus raisonnable a besoin de temps en temps de retourner à la nature, c'est-à-dire à sa relation illogique fondamentale avec toutes choses.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=nietzsche&texte=&reference=&theme=§Nietzsche (Friedrich)§Par delà bien et mal, VI, Nous, les savants, \§ 212, Bouquins,T. II, p. 660-662.§philosophe|grandeur|inactualite|renaissance|volonte|pudeur§§Il me semble de plus en plus que le philosophe, qui est nécessairement un homme du lendemain et du surlendemain, s'est de tout temps trouvé et devait se trouver en contradiction avec le présent :  son ennemi a toujours été l'idéal du jour. Jusqu'ici tous ces extraordinaires pionniers de l'humanité qu'on appelle philosophes et qui eux-mêmes ont rarement eu le sentiment d'être des amis de la sagesse, mais plutôt de désagréables fous et de dangereuses énigmes, se sont assigné pour tâche, une tâche dure, involontaire, inéluctable, mais grandiose, d'être la mauvaise conscience de leur époque. En s'armant du scalpel pour disséquer les vertus de leur temps, ils trahissaient leur propre secret : ils cherchaient à connaître une nouvelle grandeur de l'homme, un chemin neuf et non frayé vers son agrandissement. Chaque fois ils découvraient combien d'hypocrisie, de nonchalance, de laisser-aller, de déchéance et de mensonge se cachait dans l'idéal moral de leur temps, combien il y avait de vertu usée ; chaque fois, ils disaient :  « Il nous faut aller plus loin, vers ces domaines où vous vous sentez aujourd'hui le plus dépaysés. » En présence d'un monde d' »idées modernes », qui voudrait confiner chacun dans son recoin et sa spécialité, un philosophe, s'il pouvait y en avoir aujourd'hui, serait contraint de faire consister la grandeur humaine et l'idée de « grandeur » dans l'étendue et la complexité des facultés, dans la totalité au sein du multiple ; il déterminerait même la valeur et le rang de chacun d'après la quantité et la diversité de ce qu'il peut assumer, et la portée qu'il peut donner à sa responsabilité. De nos jours le goût et les vertus à la mode affaiblissent et amenuisent la volonté, rien n'est plus actuel que la faiblesse de la volonté. Donc, dans l'idéal du philosophe, I'idée de « grandeur » devra comporter la puissance de la volonté, la dureté, la faculté de prendre de longues résolutions. De même la doctrine inverse et l'idéal d'une humanité timide, pleine d'abnégation, d'humilité, de renoncement, étaient appropriés à une époque de caractère opposé qui, comme le XVI° siècle, souffrait de l'énergie accumulée de sa volonté et des torrents déchaînés de son égoïsme. Au siècle de Socrate, dans une société d'hommes aux instincts fatigués, parmi les vieux Athéniens conservateurs qui se laissaient aller « au bonheur »(à les en croire), mais en fait au plaisir, et qui avaient encore à la bouche les grands mots pompeux de jadis, auxquels leur vie ne leur donnait plus depuis longtemps le droit de prétendre,  I'ironie était peut-être nécessaire à la grandeur de l'âme, cette maligne et socratique sûreté du vieux médecin et du plébéien qui, sans ménagement, taillait dans sa propre chair aussi bien que dans la chair et le coeur des « aristocrates », tandis que son regard leur laissait clairement entendre :  « Inutile de feindre avec moi ! Sur ce point nous sommes égaux ! » Aujourd'hui au contraire où, en Europe, seul l'animal grégaire accède aux honneurs et les répartit, où l' « égalité des droits » pourrait trop aisément se transformer en égalité des nondroits, je veux dire en une guerre de la communauté contre tout ce qu'il y a de rare, d'étranger, de privilégié, contre l'homme supérieur, I'âme supérieure, le devoir supérieur, la responsabilité supérieure, la plénitude de puissance créatrice  aujourd'hui la distinction aristocratique, la volonté de ne dépendre que de soi, la faculté d'être autre, différent et seul de son parti, la fière indépendance et l'obligation de ne vivre que de ses conquêtes, font partie de la notion de « grandeur ». Le philosophe trahira un peu de son propre idéal en posant ce principe : « Que le plus grand soit celui qui saura être le plus solitaire, le plus caché, le plus à l'écart, I'homme par-delà le bien et le mal, le maître de ses vertus, celui qui peut vouloir à profusion ! Que la grandeur soit de pouvoir être aussi multiple qu'entier, de connâître autant d'immensité que de plénitude ! » Et je le demande encore une fois : de nos jours la grandeur est-elle possible ? 
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=pascal&texte=&reference=&theme=§Pascal (Blaise)§Pensées 104 (361), col. La Pléiade, Gallimard 1976, p. 116.§imagination|raison§1976§Imagination. C'est cette partie dominante dans l'homme, cette maîtresse d'erreur et de fausseté, et d'autant plus fourbe qu'elle ne l'est pas toujours ; car elle serait règle infaillible de vérité, si elle l'était infaillible du mensonge. Mais, étant le plus souvent fausse, elle ne donne aucune marque de sa qualité, marquant du même caractère le vrai et le faux. Je ne parle pas des fous, je parle des plus sages ; et c'est parmi eux que l'imagination a le grand droit de persuader les hommes. La raison a beau crier, elle ne peut mettre le prix aux choses. Cette superbe puissance, ennemie de la raison, qui se plaît à la contrôler et à la dominer, pour montrer combien elle peut en toutes choses, a établi dans l'homme une seconde nature. Elle a ses heureux, ses malheureux, ses sains, ses malades, ses riches, ses pauvres ; elle fait croire, douter, nier la raison ; elle suspend les sens, elle les fait sentir ; elle a ses fous et ses sages ; et rien ne nous dépite davantage que de voir qu'elle remplit ses hôtes d'une satisfaction bien autrement pleine et entière que la raison. Les habiles par imagination se plaisent tout autrement à eux-mêmes que les prudents ne se peuvent raisonnablement plaire. Ils regardent les gens avec empire ; ils disputent avec hardiesse et confiance ; les autres, avec crainte et défiance : et cette gaîté de visage leur donne souvent l'avantage dans l'opinion des écoutants, tant les sages imaginaires ont de faveur auprès des juges de même nature. Elle ne peut rendre sages les fous ; mais elle les rend heureux, à l'envi de la raison qui ne peut rendre ses amis que misérables, l'une les couvrant de gloire, l'autre de honte...
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=pascal&texte=&reference=&theme=§Pascal (Blaise)§Pensées, (25, 26, 419) ed. Lafuma.§droit|nature|coutume§§La  coutume de voir les rois accompagnés de gardes, de tambours, d'officiers et de toutes les choses qui ploient la machine vers le respect et la terreur fait que leur visage, quand il est quelquefois seul et sans ses accompagnements imprime dans leurs sujets le respect et la terreur parce qu'on ne sépare point dans la pensée leurs personnes d'avec leurs suites qu'on y voit d'ordinaire jointes. Et le monde qui ne sait pas que cet effet vient de cette coutume, croire qu'il vient d'une force naturelle. Et de là viennent ces mots : le caractère de la divinité est empreint sur son visage, etc. (25)La puissance des rois est fondée sur la raison et sur la folie du peuple, et bien plus sur la folie. La plus grande et la plus importante chose du monde a pour fondement la faiblesse. Et ce fondement est admirablement sûr, car il n'y a rien de plus que cela, que le peuple sera faible. Ce qui est fondé sur la saine raison est bien mal fondé, comme l'estime de la sagesse. (26)La coutume est notre nature. Qui s'accoutume à la foi la croit, et ne peut plus ne pas craindre l'enfer, et ne croit autre chose. Qui s'accoutume à croire que le roi est terrible, etc. Qui doute donc que notre âme étant accoutumée à voir nombre, espace, mouvement, croit cela et rien que cela. (419)
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=pascal&texte=&reference=&theme=§Pascal (Blaise)§Texte donné au baccalauréat technique.§natureculture|langage§§N'est-ce pas indignement traiter la raison de l'homme que de la mettre en parallèle avec l'instinct des animaux, puisqu'on en ôte la principale différence, qui consiste en ce que les effets du raisonnement augmentent sans cesse, au lieu que l'instinct demeure toujours dans un état égal ? Les ruches des abeilles étaient aussi bien mesurées il y a mille ans qu'aujourd'hui, et chacune d'elles forme cet hexagone aussi exactement la première fois que la dernière. Il en est de même de tout ce que les animaux produisent par ce mouvement occulte(1). La nature les instruit à mesure que la nécessité les presse ; mais cette science fragile se perd avec les besoins qu'ils en ont : comme ils la reçoivent sans étude, ils n'ont pas le bonheur de la conserver : et toutes les fois qu'elle leur est donnée, elle leur est nouvelle, puisque, la nature n'ayant pour objet que de maintenir les animaux dans un ordre de perfection bornée, elle leur inspire cette science nécessaire, toujours égale, de peur qu'ils ne tombent dans le dépérissement, et ne permet pas qu'ils y ajoutent, de peur qu'ils ne passent les limites qu'elle leur a prescrites. Il n'en est pas de même de l'homme, qui n'est produit que pour l'infinité. Il est dans l'ignorance au premier âge de sa vie ; mais il s'instruit sans cesse dans son progrès : car il tire avantage non seulement de sa propre expérience, mais encore de celle de ses prédécesseurs, parce qu'il garde toujours dans sa mémoire les connaissances qu'il s'est une fois acquises, et que celles des anciens lui sont toujours présentes dans les livres qu'ils ont laissés. Et comme il conserve ces connaissances, il peut aussi les augmenter facilement.PASCAL(1) cachéQuestions1. Dégagez les différentes oppositions que fait Pascal entre la raison de l'homme et l'instinct des animaux.2. Précisez le sens de : « La nature les instruit à mesure que la nécessité les presse » ; « l'homme qui n'est produit que pour l'infinité. »3. Pensez,vous, comme Pascal, que le destin de l'homme soit de rompre avec son animalité en conservant et en augmentant ses connaissances ?
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=pascal&texte=&reference=&theme=§Pascal (Blaise)§Texte donné au baccalauréat.§violence|verite§§C'est une étrange et longue guerre que celle où la violence essaie d'opprimer la vérité. Tous les efforts de la violence ne peuvent affaiblir la vérité, et ne servent qu'à la relever davantage. Toutes les lumières de la vérité ne peuvent rien pour arrêter la violence, et ne font que l'irriter encore plus. Quand la force combat la force, la plus puissante détruit la moindre ; quand l'on oppose les discours aux discours, ceux qui sont véritables et convaincants confondent et dissipent ceux qui n'ont que la vanité et le mensonge ; mais la violence et la vérité ne peuvent rien l'une sur l'autre. Qu'on ne prétende pas de là néanmoins que les choses soient égales : car il y a cette extrême différence, que la violence n'a qu'un cours borné par l'ordre de Dieu, qui en conduit les effets à la gloire de la vérité qu'elle attaque : au lieu que la vérité subsiste éternellement, et triomphe enfin de ses ennemis ; parce qu'elle est éternelle et puissante comme Dieu même.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=pascal&texte=&reference=&theme=§Pascal (Blaise)§Texte donné au baccalauréat.§science|experience|nature§§Dans toutes les matières dont la preuve consiste en expériences et non en démonstrations, on ne peut faire aucune assertion universelle que par la générale énumération de toutes les parties ou de tous les cas différents. C'est ainsi que, quand nous disons que le diamant est le plus dur de tous les corps, nous entendons de tous les corps que nous connaissons, et nous ne pouvons ni ne devons y comprendre ceux que nous ne connaissons point ; et quand nous disons que l'or est le plus pesant de tous les corps, nous serions téméraire de comprendre dans cette proposition générale ceux qui ne sont point encore en notre connaissance, quoiqu'il ne soit pas impossible qu'ils soient en nature.De même quand les anciens ont assuré que la nature ne souffrait point de vide, ils ont compris qu'elle n'en souffrait point dans toutes les expériences qu'ils avaient vues, et ils n'auraient pu sans témérité y comprendre celles qui n'étaient pas en leur connaissance. Que si elles y eussent été, sans doute ils auraient tiré les mêmes conséquences que nous et les auraient par leur aveu autorisées à cette antiquité dont on veut faire aujourd'hui l'unique principe des sciences. 	C'est ainsi que, sans les contredire, nous pouvons affirmer le contraire de ce qu'ils disaient et, quelque force enfin qu'ait cette antiquité, la vérité doit toujours avoir l'avantage, quoique nouvellement découverte, puisqu'elle est toujours plus ancienne que toutes les opinions qu'on a eues, et que ce serait ignorer sa nature de s'imaginer qu'elle ait commencé d'être au temps qu'elle a commencé d'être connue.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=pascal&texte=&reference=&theme=§Pascal (Blaise)§Pensées, N°975 et 976, édition CFL.§morale|philosophie|raison§§Géométrie, finesse  La vraie éloquence se moque de l'éloquence, la vraie morale se moque de la morale ; c'est-à-dire que la morale du jugement se moque de la morale de l'esprit  qui est sans règles.Car le jugement est celui à qui appartient le sentiment, connue les sciences appartiennent à l'esprit. La finesse est la part du jugement, la géométrie est celle de l'esprit.Se moquer de la philosophie, c'est vraiment philosopher.Sentiment  La mémoire, la joie, sont des sentiments ; et même les propositions géométriques deviennent sentiments, car la raison rend les sentiments naturels et les sentiments naturels s'effacent par la raison.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=pascal&texte=&reference=&theme=§Pascal (Blaise)§Pensées, N°972-973-974, édition CFL.§geometrie|theorie|pratique§§ Différence entre l'esprit de géométrie et l'esprit de finesse  En l'un, les principes sont palpables, mais éloignés de l'usage commun ; de sorte qu'on a peine à tourner la tête de ce côté-là, manque d'habitude : mais pour peu qu'on l'y tourne, on voit les principes à plein ; et il faudrait avoir tout à fait l'esprit faux pour mal raisonner sur des principes si gros qu'il est presque impossible qu'ils échappent.Mais dans l'esprit de finesse, les principes sont dans l'usage commun et devant les yeux de tout le monde. On n'a que faire de tourner la tête, ni de se faire violence ; il n'est question que d'avoir bonne vue, mais il faut l'avoir bonne : car les principes sont si déliés et en si grand nombre, qu'il est presque impossible qu'il n'en échappe. Or, l'omission d'un principe mène à l'erreur ; ainsi, il faut avoir la vue bien nette pour voir tous les principes, et ensuite l'esprit juste pour ne pas raisonner faussement sur des principes connus.Tous les géomètres seraient donc fins s'ils avaient la vue bonne, car ils ne raisonnent pas faux sur les principes qu'ils connaissent ; et les esprits fins seraient géomètres, s'ils pouvaient plier leur vue vers les principes inaccoutumés de géométrie.Ce qui fait donc que de certains esprits fins ne sont pas géomètres, c'est qu'ils ne peuvent du tout se tourner vers les principes de géométrie ; mais ce qui fait que des géomètres ne sont pas fins, c'est qu'ils ne voient pas ce qui est devant eux, et qu'étant accoutumés aux principes nets et grossiers de géométrie, et à ne raisonner qu'après avoir bien vu et manié leurs principes, ils se perdent dans les choses de finesse, où les principes ne se laissent pas ainsi manier. On les voit à peine, on les sent plutôt qu'on ne les voit ; on a des peines infinies à les faire sentir à ceux qui ne les sentent pas d'eux-mêmes : ce sont choses tellement délicates et si nombreuses, qu'il faut un sens bien délicat et bien net pour les sentir, et juger droit et juste selon ce sentiment, sans pouvoir le plus souvent les démontrer par ordre comme en géométrie, parce qu'on n'en possède pas ainsi les principes, et que ce serait une chose infinie de l'entreprendre. Il faut tout d'un coup voir la chose d'un seul regard et non pas par progrès de raisonnement, au moins jusqu'à un certain degré. Et ainsi il est rare que les géomètres soient fins et que les fins soient géomètres, à cause que les géomètres veulent traiter géométriquement ces choses fines, et se rendent ridicules, voulant commencer par les définitions et ensuite par les principes, ce qui n'est pas la manière d'agir en cette sorte de raisonnement. Ce n'est pas que l'esprit ne le fasse ; mais il le fait tacitement, naturellement et sans art, car l'expression en passe tous les hommes, et le sentiment n'en appartient qu'à peu d'hommes.Et les esprits fins, au contraire, ayant ainsi accoutumé à juger d'une seule vue, sont si étonnés,  quand on leur présente des propositions, où ils ne comprennent rien et où pour entrer, il faut passer par des définitions et des principes si stériles, qu'ils n'ont point accoutumé de voir ainsi en détail,  qu'ils s'en rebutent et s'en dégoûtent.Mais les esprits faux ne sont jamais ni fins ni géomètres.Les géomètres, qui ne sont que géomètres, ont donc l'esprit droit, mais pourvu qu'on leur explique bien toutes choses par définitions et principes ; autrement, ils sont faux et insupportables, car ils ne sont droits que sur les principes bien éclaircis.Et les fins qui ne sont que fins ne peuvent avoir la patience de descendre jusque dans les premiers principes des choses spéculatives et d'imagination, qu'ils n'ont jamais vues dans le monde, et tout à fait hors d'usage.Diverses sortes de sens droit ; les uns dans un certain ordre de choses, et non dans les autres ordres, où ils extravaguent.Les uns tirent bien les conséquences de peu de principes, et c'est une droiture de sens.Les autres tirent bien les conséquences des choses où il y a beaucoup de principes.Par exemple, les uns comprennent bien les effets de l'eau, en quoi il y a peu de principes ; mais les conséquences en sont si fines, qu'il n'y a qu'une extrême droiture d'esprit qui y puisse aller.Et ceux-là ne seraient peut-être pas pour cela grands géomètres, parce que la géométrie comprend un grand nombre de principes, et qu'une nature d'esprit peut être telle qu'elle puisse bien pénétrer peu de principes jusqu'au fond, et qu'elle ne puisse pénétrer le moins du monde les choses où il y a beaucoup de principes.Il y a donc deux sortes d'esprits : l'une, de pénétrer vivement et profondément les conséquences des principes, et c'est là l'esprit de justesse ; l'autre, de comprendre un grand nombre de principes sans les confondre, et c'est là l'esprit de géométrie. L'un est force et droiture d'esprit, l'autre est amplitude d'esprit. Or l'un peut bien être sans l'autre, l'esprit pouvant être fort et étroit, et pouvant être aussi ample et faible.Ceux qui sont accoutumés à juger par le sentiment ne comprennent rien aux choses de raisonnement, car ils veulent d'abord pénétrer d'une vue et ne sont point accoutumés à chercher les principes. Et les autres, au contraire, qui sont accoutumés à raisonner par principe, ne comprennent rien aux choses du sentiment, y cherchant des principes, et ne pouvant voir d'une vue.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=pascal&texte=&reference=&theme=§Pascal (Blaise)§Oeuvres complètes, éd. du Seuil, 1963, p. 349.§science|geometrie§1963§Et je n'ai choisi cette science [la géométrie] (...) que parce qu'elle seule sait les véritables règles du raisonnement, et, sans s'arrêter aux règles des syllogismes qui sont tellement naturelles qu'on ne peut les ignorer, s'arrête et se fonde sur la véritable méthode de conduire le raisonnement en toutes choses, que presque tout le monde ignore, et qu'il est si avantageux de savoir, que nous voyons par expérience qu'entre esprits égaux et toutes choses pareilles, celui qui a de la géométrie l'emporte et acquiert une vigueur toute nouvelle. Je veux donc faire entendre ce que c'est que démonstration par l'exemple de celle de géométrie, qui est presque la seule des sciences humaines qui en produise d'infaillibles, parce qu'elle seule observe la véritable méthode, au lieu que toutes les autres sont par une nécessité naturelle dans quelque sorte de confusion que les seuls géomètres savent extrêmement reconnaître. Cette véritable méthode qui formerait les démonstrations dans la plus haute excellence, s'il était possible d'y arriver, consisterait en deux choses principales : l'une, de n'employer aucun terme dont on n'eût auparavant expliqué nettement le sens, l'autre, de n'avancer jamais aucune proposition qu'on ne démontrât par des vérités déjà connues : c'est-à-dire, en un mot, à définir tous les termes et à prouver toutes les propositions.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=pascal&texte=&reference=&theme=§Pascal (Blaise)§Pensées, (1670).§imagination|erreur|raison§1670§C'est cette partie dominante dans l'homme, cette maîtresse d'erreur et de fausseté, est d'autant plus fourbe qu'elle ne l'est pas toujours, car elle serait règle infaillible de vérité, si elle l'était infaillible du mensonge. Mais, étant le plus souvent fausse, elle ne donne aucune marque de sa qualité marquant du même caractère le vrai et le faux. Je ne parle pas des fous, je parle des plus sages, et c'est parmi eux que l'imagination a le grand droit de persuader les hommes. La raison a beau crier, elle ne peut mettre le prix aux choses.Cette superbe puissance ennemie de la raison, qui se plaît à la contrôler et à la dominer, pour montrer combien elle peut en toutes choses, a établi dans l'homme une seconde nature. Elle a ses heureux, ses malheureux, ses sains, ses malades, ses riches, ses pauvres. Elle fait croire, douter, nier la raison. Elle suspend les sens, elle les fait sentir. (...) Qui dispense la réputation, qui donne le respect et la vénération aux personnes, aux ouvrages, aux lois, aux grands, sinon cette faculté imaginante ? Toutes les richesses de la terre (sont) insuffisantes sans son consentement. Ne diriez-vous pas que ce magistrat dont la vieillesse vénérable impose le respect à tout un peuple se gouverne par une raison pure et sublime et qu'il juge des choses par leur nature sans s'arrêter à ces vaines circonstances qui ne blessent que l'imagination des faibles.Voyez-le entrer dans un sermon où il apporte un zèle tout dévot renforçant la solidité de sa raison par l'ardeur de sa charité ; le voilà prêt à l'ouïr avec un respect exemplaire. Que le prédicateur vienne à paraître, si la nature lui a donné une voix enrouée et un tour de visage bizarre, que son barbier l'ait mal rasé, si le hasard l'a encore barbouillé de surcroît, quelque grandes vérités qu'il annonce, je parie la perte de la gravité de notre sénateur. Le plus grand philosophe du monde sur une planche plus large qu'il ne faut, s'il y a au-dessous un précipice, quoique sa raison le convainque de sa sûreté, son imagination prévaudra. Plusieurs n'en sauraient soutenir la pensée sans pélir et suer.Je ne veux pas rapporter tous ses effets ; qui ne sait que la vue des chats, des rats, l'écrasement d'un charbon, etc, emportent la raison hors des gonds. Le ton de voix impose aux plus sages et change un discours et un poème de force. (...) Je voudrais de bon coeur voir le livre italien dont je ne connais que le titre, qui vaut lui seul bien des livres, Dell'opinione regina del mondo. J'y souscris sans le connaître, sauf le mal s'il y en a.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=pascal&texte=&reference=&theme=§Pascal (Blaise)§Pensées.§conscience|raison|pensee§§La grandeur de l'homme est grande en ce qu'il se connaît misérable. Un arbre ne se connaît pas misérable.C'est donc être misérable que de se connaître misérable ; mais c'est être grand que de connaître qu'on est misérable.Penser fait la grandeur de l'homme.Je puis bien concevoir un homme sans mains, pieds, tête (car ce n'est que l'expérience qui nous apprend que la tête est plus nécessaire que les pieds). Mais je ne puis concevoir un homme sans pensée : ce serait une pierre ou une brute. [...]L'homme n'est qu'un roseau, le plus faible de la nature ; mais c'est un roseau pensant. Il ne faut pas que l'univers entier s'arme pour l'écraser : une vapeur, une goutte d'eau, suffit pour le tuer. Mais, quand l'univers l'écraserait, l'homme serait encore plus noble que ce qui le tue, parce qu'il sait qu'il meurt, et l'avantage de l'univers a sur lui, l'univers n'en sait rien.Toute notre dignité consiste donc en la pensée. C'est de là qu'il nous faut relever et non de l'espace et de la durée, que nous ne saurions remplir. Travaillons donc à bien penser : voilà le principe de la morale.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=pascal&texte=&reference=&theme=§Pascal (Blaise)§Pensées, Brunschvicg 323.Texte donné au bac, Paris, section A, 1978§passions|amour|conscience§1978§Qu'est-ce que le moi ? Un homme qui se met à la fenêtre pour voir les passants, si je passe par là, puis-je dire qu'il s'est mis là pour me voir ? Non ; car il ne pense pas à moi en particulier. Mais celui qui aime quelqu'un à cause de sa beauté, l'aime-t-il ? Non : car la petite vérole, qui tuera la beauté sans tuer la personne, fera qu'il ne l'aimera plus.Et si on m'aime pour mon jugement, pour ma mémoire, m'aime-t-on, moi ? Non, car je puis perdre ces qualités sans me perdre moi-même. Où est donc ce moi, s'il n'est ni dans le corps, ni dans l'âme ? Et comment aimer le corps ou l'âme, sinon pour ces qualités, qui ne sont point ce qui fait le moi, puisqu'elles sont périssables ? Car aimerait-on la substance de l'âme d'une personne abstraitement et quelques qualités qui y fussent ? Cela ne se peut, et serait injuste. On n'aime donc jamais personne, mais seulement des qualités.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=pascal&texte=&reference=&theme=§Pascal (Blaise)§Texte donné au baccalauréat.§verite|ordre|methode§§Il est évident que les premiers termes qu'on voudrait définir en supposeraient de précédents pour servir à leur explication, et que de même les premières propositions qu'on voudrait prouver en supposeraient d'autres qui les précédassent ; et ainsi il est clair qu'on n'arriverait jamais aux premières.Aussi, en poussant les recherches de plus en plus, on arrive nécessairement à des mots primitifs qu'on ne peut plus définir, et des principes si clairs qu'on n'en trouve plus qui le soient davantage pour servir à leur preuve. D'où il paraît que les hommes sont dans une impuissance naturelle et immuable de traiter quelque science que ce soit dans un ordre absolument accompli. 	Mais il ne s'ensuit pas de là qu'on doive abandonner toute sorte d'ordre. Car il y en a un, et c'est celui de la géométrie, qui est à la vérité inférieur en ce qu'il est moins convaincant, mais non pas en ce qu'il est moins certain.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=pascal&texte=&reference=&theme=§Pascal (Blaise)§Texte donné au baccalauréat.§justice|force§§Justice, force.Il est juste que ce qui est juste soit suivi ; il est nécessaire que ce qui est le plus fort soit suivi. 	La justice sans la force est impuissante ; la force sans la justice est tyrannique. 	La justice sans force est contredite, parce qu'il y a toujours des méchants. La force sans la justice est accusée. Il faut donc mettre ensemble la justice et la force, et pour cela faire que ce qui est juste soit fort ou que ce qui est fort soit juste. 	La justice est sujette à dispute. La force est très reconnaissable et sans dispute. Aussi on n'a pu donner la force à la justice, parce que la force a contredit la justice et a dit qu'elle était injuste, et a dit que c'était elle qui était juste. 	Et ainsi ne pouvant faire que ce qui est juste fût fort, on a fait que ce qui est fort fut juste.
